"";"x"
"nbClusters";"3"
"percent A";"0.44"
"percent B";"0.31"
"percent C";"0.25"
"Calinski.Harabatz";"66.4850782572156"
"Calinski.Harabatz2";"1.3990908167636"
"Calinski.Harabatz3";"94.0240993667909"
"Ray.Turi";"-0.024362533292963"
"Davies.Bouldin";"-1.40771820324507"
"BIC";"190.022903585662"
"BIC2";"-29.4616915293782"
"AIC";"372.384816604829"
"AICc";"29.6261959151736"
"AICc2";"367.925417771271"
"postProbaGlobal";"0.988966490671509"
"random";"-1.17257116656674"
"algorithmUsed";"kmeans, fast (C)"
"convergenceTime";"8"
